gretl	/software /art/film
revamp	/person/musician /person/artist /product
denisa	/person/actor /person/artist /person
ellice	/location
canossa	/location/city /location /person/artist
jodo	/person/artist /person/actor /person/author /person/director /person
paulie	/music /person/actor /person/artist /art/film /product /person/author /person
silvetti	/person/artist /person/musician /person
montpellier	/organization/sports_team /location /building /location/city /organization
plasm	/person/artist /written_work /person
intruders	/art/film /product /written_work /broadcast_program
namangan	/location/city /location
mahalia	/person/actor /written_work /person
mclellan	/location/city /location
adhesive	/person/artist /organization /person/musician /organization/company
gangi	/person/artist
couples	/music /art/film /product /written_work
delmar	/location /person/artist /location/city /organization /person/author /organization/company
patay	/location
woodstown	/location/city /location
diarsia	/living_thing
dufort	/location/city /location
transnational	/product
pensive	/art /person/artist
thiomersal	/medicine/medical_treatment /medicine/drug /chemistry
walking	/art/film /product /music
glycols	/written_work
piechoty	/location/city /location
swig	/software
bdo	/organization /organization/company
oxygene	/person/artist /product /computer/programming_language
gresham	/location/city /location /building
zornia	/living_thing
entrapment	/music /art/film /person/artist /art /product /person/musician /written_work
teens	/person/artist /product /organization /person/musician /organization/company
zaza	/person/artist /person/musician /play /written_work /art/film /location /location/city /person/author /person
reise	/product
geaya	/living_thing
livilla	/person
comiccon	/person/artist
fania	/person/artist /person
torte	/food
scimitar	/person/musician /person/artist /written_work
barcelonnette	/location/city /location
moina	/living_thing /written_work
turnstone	/living_thing
palatini	/organization
oppens	/location/city /location
aschehoug	/organization /organization/company
torzhok	/location/city /location
ilkley	/location/city /location /written_work
resurfaced	/product
survey	/broadcast_program
sabrewing	/living_thing
ae	/music /person/actor /product /disease /person/musician /game /location /person/artist /location/city /person/author /person
ifi	/organization /organization/company
fazenda	/location/city /location
bruces	/person/artist /person
swati	/person/actor /person/artist /people/ethnicity /art/film /person
athabaska	/location
fiorina	/location /person
nadira	/person/actor /written_work /person
yesh	/person/artist
henbury	/location/city /location
rosas	/location /product /location/city /organization /written_work /person
beck	/music /person/actor /person/artist /broadcast_program /person/director /person/musician /art/film /location /location/city /person/athlete /person/author /person
7u	/person/artist /person
kalamazoo	/location/city /location /music
footwork	/location
oberndorf	/location
blyth	/location/city /location
mclusky	/person/musician /person/artist
aisa	/organization /organization/company
tucows	/organization /organization/company
cloned	/art/film /organization /product /organization/company
leyden	/location /location/city /location/county /person
acetyl	/chemistry
cbd	/person/artist /written_work
goupil	/person/actor /person/artist /person/director /person/author /person
snooks	/person/actor /person
dufferin	/location /title
grenland	/location
szymanowski	/person/artist /person/author /written_work /person/musician /person
oxymoron	/person/artist /product /person/musician
upset	/person/artist /product /written_work /person/musician
skepta	/person/artist /person
cdp	/biology /organization /person/artist /organization/company
dewdney	/location
everingham	/location/city /location
meier	/person/author /person
poo	/music /person/actor /person/artist /written_work /art/film /location /location/city /person
opticks	/software /product /written_work
sojourners	/written_work
auschwitz	/art/film /written_work
chervil	/living_thing /food
backtracks	/music /product
stanway	/location/city /location
strawberries	/living_thing /music /product /written_work /food
lasko	/location/city /location
zeno	/person/artist /person/musician /computer/programming_language /art/film /location /location/city /person/author /person
agrawal	/people/ethnicity
stubbs	/building/restaurant /person/artist /building /written_work /location /location/city /person
templeman	/location/city /location
memoir	/organization /person/artist /written_work /organization/company
virologist	/title
ghostriders	/person/musician /person/artist
momentos	/art/film /music
dear	/music /product/ship /person/artist /product /person/musician
salaryman	/person/artist /product /written_work /person/musician /title
pembroke	/location/city /location /product /written_work
colocolo	/living_thing /person
morbihan	/location/city /location/county /location
akseki	/location/city /location
melquiades	/art
unraveled	/art/film /product /written_work /organization/company
nedelya	/written_work
joondalup	/location/city /location
skokomish	/location
incubus	/person/artist /person/musician /written_work /art/film /person/author
opo	/person/artist
primm	/location/city /location /person/artist
stilicho	/person
nuon	/software /organization /organization/company
waf	/software
judds	/person/artist /person/musician
appius	/written_work
menton	/location/city /location /building/restaurant
cw	/broadcast_network /person/artist /person /organization /title /organization/company
torpid	/product
rossignol	/location/city /location
ilma	/living_thing
hatchie	/location/city /location
narcosis	/person/artist /disease /person/musician /person
marawi	/location/city /location
smn	/biology
uss	/person/musician /person/artist
pahalgam	/location/city /location
zhanjiang	/location/city /location
franny	/person/actor /person/artist /person /person/athlete
sibilant	/person/artist /person
kazhdan	/person
watershed	/music /building/restaurant /product /building /person/musician /written_work /location /person/artist
footfall	/person/artist /written_work /person
zastava	/art/film /organization /organization/company
frontier	/building/restaurant /product /broadcast_program /person/musician /art/film /location /person/artist /location/city /organization /organization/company
caris	/organization /organization/company
keough	/location/city /location
faustina	/art/film /person/artist /written_work /person
fahraj	/location
foreboding	/music /art /art/film
gakhars	/people/ethnicity
pomeranians	/person/musician /person/artist /people/ethnicity
sperry	/location/city /location
mariola	/person/actor /person
sayed	/person/actor /person
tippetts	/location/city /location
carrageenan	/chemistry
thirty	/location/city /location /product /art/film
granta	/location /location/body_of_water /written_work
reefton	/location/city /location
kove	/person/actor /person
moha	/person
dextrous	/person/artist /product /person/musician /person
socata	/organization /organization/company
hiroyuki	/person/artist /person
stopover	/location/city /location /art/film
playground	/building/restaurant /person/artist /broadcast_program /person/musician /written_work /art/film /game /art /location /product /organization /organization/company
ferney	/location/city /location /written_work
daren	/person
amyloid	/written_work
comamonadaceae	/living_thing
jülich	/location/city /location
neighbourhood	/music /product /broadcast_program
granulina	/living_thing
claribel	/location/city /location /person/author /person
standard	/person/artist /person/musician /written_work /location /location/city /organization /organization/company
collins	/person/actor /person/artist /person /location /organization/educational_institution /organization/company /location/city /organization /person/author /person/athlete
mccullers	/location/city /location
diaboli	/person/musician /person/artist
aub	/person/actor /person/artist /person/director /person/musician /written_work /location /location/city /person/author /person
claxton	/location/city /location
hariri	/person
archicad	/software /written_work
feis	/organization /organization/company
burson	/location/city /location
saucon	/location/city /location
misión	/written_work
ngati	/art/film
debach	/location
metzneria	/living_thing
büssing	/organization /organization/company
westerman	/person
staples	/location /person/artist /organization/company /location/city /organization /person/musician /person
wombourne	/location/city /location
styrene	/chemistry
gigolos	/written_work /broadcast_program
soissons	/location/city /location /person/author /person
obliquity	/product /written_work
teneriffe	/location/city /location
tecta	/organization /organization/company
chatrapati	/art/film
gd	/person/artist /person /person/author /organization /person/musician /organization/company
godsend	/art/film /person/artist /product /person/musician /music
izakaya	/music /written_work
crew	/person/artist /person/musician /title /art/film /organization /organization/company
ramgoolam	/written_work
kahului	/location
paganism	/art /written_work
massimo	/person/musician /person/artist /person
melanophthalma	/living_thing
preakness	/location/city /location
chunk	/person/artist /art /organization /person/musician /organization/company
prolog	/computer/programming_language /music /location /person/artist /location/city /written_work
prosper	/person/artist /person/director /person/musician /location /location/city /person/author /person
widsith	/written_work
nullsoft	/person/engineer /organization /organization/company
achimota	/location/city /location /written_work
ririe	/location/city /location
zohan	/location
widget	/game /broadcast_program /person/actor /person/artist /person
turris	/living_thing
bukoba	/location/city /location
panipat	/location/city /location
goosefoot	/living_thing /food
tiberi	/person/artist
cbt	/person/actor /person
integrals	/written_work
wadesboro	/location/city /location
schodde	/location/city /location
andriy	/person
xfire	/organization /organization/company
haaren	/location
lysimachus	/person
goodwyn	/location/city /location
lagomorphs	/living_thing
arcadia	/music /person/actor /person/artist /play /art /product/ship /person /living_thing /product /building /broadcast_program /person/musician /written_work /game /art/film /location /location/city
shiyan	/location/city /location /person/artist
dihydrotestosterone	/chemistry /medicine/medical_treatment /medicine/drug
esparto	/living_thing /location
slimmy	/person/artist /person
junji	/person/actor /person/artist /person
hellyeah	/music /person/artist /product /person/musician
mincio	/location /location/body_of_water
tycho	/person/artist /person/musician /person
an	/person/musician /person/artist /person
asatru	/person/musician /person/artist
mto	/person/artist /person/engineer /organization /organization/company
buryatia	/location
getxo	/location/city /location
hornbeck	/location/city /location
troon	/location/city /location
cleland	/location/city /location
kupang	/location/city /location
dari	/person/musician /location/city /location /person/artist
tanzen	/game /music
babil	/location/city /location
cavalry	/art/film /organization
dogpatch	/location/city /location
kabi	/art/film /written_work /people/ethnicity
chewing	/written_work
mujo	/person/author /person/actor /product /person
sadaf	/person/actor /person
sibu	/location/city /organization /location /organization/company
piculus	/living_thing
utv	/broadcast_network /organization
multan	/location/city /location
shoham	/location/city /location
housekeeping	/art/film /product /written_work
lalli	/person/artist /person
starkenburg	/location/city /location
plo	/organization /location
amata	/living_thing /location /person/artist /location/body_of_water /person/musician
edgartown	/location/city /location
lansdown	/art/film
gavutu	/location /geography/island
legato	/software /location/city /location /person/artist /person/musician
foxglove	/product /art/film /person/artist /written_work
hoplite	/title
overgrowth	/game
yadgir	/location/city /location
santuario	/music /location /product /person/artist /location/city /person/musician /written_work
triplicate	/product
smother	/person/artist /art/film /product
igneous	/game /music
fri	/organization/company /organization /product/ship /person /person/athlete
takafumi	/person
pelayo	/person/athlete /person/artist /person
nenu	/art/film
humoured	/music
souther	/person/actor /person/artist /person /person/musician /art/film /organization /person/author /organization/company
nagamma	/person/actor /person
benue	/location
urmila	/person/actor /person/artist /person
chack	/person/artist /person
sledgehammer	/person/actor /product /person /person/engineer /person/musician /game /art/film /person/artist /organization /person/author /organization/company
sbor	/location/city /location
mga	/game /location /disease /location/city /organization /written_work
emptiness	/person/artist /music /product /written_work /person/musician
nels	/person/artist /person/actor /person/musician /person
vep	/organization /organization/company
rickey	/person/actor /location/city /location /person
plassenburg	/location
jujubinus	/living_thing
gynecology	/written_work
rayman	/game
ondes	/location /written_work
oudtshoorn	/location/city /location /written_work
cyclical	/product
schulte	/location/city /location
bodman	/location/city /location
slot	/person/musician /person/artist /person
cess	/person/artist /organization /organization/educational_institution /person
tortuguero	/location
cortinarius	/living_thing
bonus	/music /person/artist /person/musician /game /location /product /location/city /organization /organization/company /person
kurukshetra	/music /art/film /location /location/city /written_work
bantustans	/written_work
ignace	/location/city /location /person/artist /person
panas	/location
urbano	/person/artist
quisqueya	/living_thing /location/city /location /written_work
outreach	/written_work
danza	/organization /organization/company
molinier	/person
hydnophytum	/living_thing
hammurabi	/person/artist /person/author /written_work /person
dong	/person/actor /person/artist /person/director /game /art/film /location /person
pye	/location /person/artist /location/city /person/athlete /person
ivf	/biology /medicine/medical_treatment /person/artist
audio	/music /product /person /person/musician /written_work /person/artist /organization /organization/company
mosquitoes	/written_work
kopenhagen	/music /product
gillberg	/person/actor /person
promusicae	/organization
darien	/location /person/artist /location/city /person/musician /written_work /person
head	/software /person/artist /person /person/musician /written_work /art/film /art /product /organization /organization/company
shelly	/living_thing /person/actor /person/artist /location /location/city /person/author /person
morrisey	/person/actor /location /person/artist /person/musician /location/city /person/author /person
zur	/person
yorick	/computer/programming_language /location/city /location /product
siston	/location/city /location
iyanya	/person/musician /person/artist /person
aerodynamics	/person/artist /product /organization/airline /organization /written_work /organization/company
uberto	/written_work
vincigliata	/location
committed	/music /art/film /person/actor /person/artist /broadcast_program /written_work
ribavirin	/chemistry /medicine/medical_treatment /medicine/drug
janakpur	/location/city /location
lupton	/location/city /location
rosetta	/art/film /location /person/artist /geography/mountain /location/city /person/musician /written_work
maseru	/location/city /location
rossiya	/organization/airline /product/ship /organization /organization/company
gemas	/location/city /location
behala	/location
vasai	/location
barbero	/organization /organization/company
natsukawa	/person
cromford	/location/city /location
mljet	/location /geography/island
owen	/person/actor /person/artist /written_work /art/film /location /location/city /person /organization/company /person/athlete
donat	/location/city /location
svetly	/location/city /location
totally	/music /organization /product /written_work /organization/company
encores	/music /product
stryków	/location/city /location
engines	/written_work
relocating	/written_work
vads	/organization /organization/company
rillington	/location/city /location
terrier	/living_thing /person/athlete /person /organization /written_work /organization/company
uakari	/living_thing
abay	/location/city /location /person
relangi	/person/actor /person/artist /person
walsworth	/location/city /location
malimbe	/product/instrument
bandhana	/art/film
pseudagrion	/living_thing
atpases	/written_work
nanjangud	/location/city /location
creedence	/person/author /music /person/artist /person/musician
spoonman	/product /person/artist /person
nitroso	/chemistry
anoxia	/person/artist /person/musician /disease
manzanilla	/location/city /location
sxsw	/organization /internet/website /event
keesha	/person/artist
dumbbells	/art/film
stolper	/written_work
humorist	/location/city /location /title
hog	/living_thing /person/actor /geography/island /person /person/director /person/musician /location /person/artist /organization /person/author /organization/company
itself	/product
ravna	/location
trifurcula	/living_thing
acid	/software /person/artist /chemistry /medicine/drug /person/musician /written_work /art/film /medicine/medical_treatment /product /event /person
russellville	/location/city /location
heras	/living_thing
ardozyga	/living_thing
alm	/location /disease /organization /location/body_of_water /organization/company
ramillies	/written_work
oligosoma	/living_thing
wynton	/product
lov	/person/musician /art/film /person/artist
crevice	/person/musician /person/artist
wagamama	/person/musician /organization /person/artist /building/restaurant /organization/company
carpi	/location/city /location
nnewi	/location/city /location
moffatt	/location/city /location /person
puan	/location
bbc	/person/artist /building /disease /person/engineer /person/musician /written_work /broadcast_network /location /organization /person/author /organization/company
assent	/location/city /location
shaun	/person/actor /person/artist /person/athlete /person
lapland	/location/city /location
shiban	/person
garmon	/product/instrument
appendix	/person/musician /person/artist /written_work
canonsburg	/location/city /location
genesys	/game /organization /written_work /organization/company
inlets	/person/artist /person
badu	/location/city /location /product /person /person/athlete
ple	/person/actor /person /disease
too	/person/actor /product /person/director /person
paiva	/person
rydzyna	/location/city /location
anschutz	/organization /organization/company
ponnani	/location/city /location
brownhills	/location/city /location
hofland	/person/author /person
zemlja	/art/film
village	/person/actor /person/artist /written_work /art /location /organization/educational_institution /product /location/city /organization /person
mug	/person/actor /person/artist /person
futrell	/location/city /location
maddie	/person/author /person/actor /person/artist /written_work /person
jpmorgan	/organization /organization/company
anachis	/living_thing
cleburne	/location/city /location
poldasht	/location/city /location
thurber	/person/actor /location/city /location /person
ernestina	/product/ship
seraglio	/art/film
isham	/location/city /location
washingtonians	/written_work
child	/music /art /person/artist /disease /person/musician /written_work /person
codemasters	/person/engineer /organization /organization/company
anticholinergic	/medicine/medical_treatment
haren	/location/city /location
erica	/living_thing /person/actor /location /location/city /person
benediction	/person/artist /art/film /person/musician /written_work
aratus	/person/author /person
ponsonby	/location/city /location
dailly	/location
omnitrix	/person/artist
shovell	/person/artist /person
flixton	/location
btn	/broadcast_network /organization /organization/company /broadcast_program
vermonters	/written_work
kriya	/person/artist /product /person/musician
coneflower	/living_thing /food
neko	/music /person/actor /person/artist /person/musician /game /computer/programming_language /person /person/athlete
morina	/living_thing
pingxiang	/location/city /location
czarniecki	/person
radiguet	/written_work
littorina	/living_thing
adkins	/person/actor /location /person/artist /location/city /person
microsporidia	/living_thing
track	/organization /written_work /person /organization/company
performers	/person/musician /person/artist
kayseri	/location/city /location /person/artist /person
warhawks	/written_work
botwood	/location/city /location
rogen	/location /location/body_of_water
initiation	/art/film /product /written_work
bua	/art/film /person/actor /person
kwangju	/location/city /location
gulley	/location/city /location
bounces	/game
esperia	/living_thing /location/city /location
imada	/person/artist
lynmouth	/location/city /location
beleza	/person/musician /person/artist
farnesina	/organization
azzurri	/organization/sports_team /organization
creach	/music
rajam	/location/city /location /person/artist /person
nous	/game /art/film /person/artist /person/musician /written_work
umuahia	/location/city /location
bien	/written_work
fdc	/biology /person/artist
meander	/product/ship /art/film /location /product /god /person/artist /location/city
huggins	/location/city /location /person/author /person
klaipeda	/location/city /location
interlink	/person/engineer /music /organization /written_work /organization/company
yougov	/organization /organization/company
zarathustra	/music /person/artist /product /person /person/musician /person/author
zlatar	/geography/mountain /location
vitality	/person/musician /person/artist
museology	/written_work
chords	/person/artist /person/musician /written_work /person/author /person
cagnes	/art
choshi	/location/city /location
pico	/software /person/actor /person/artist /computer/programming_language /location /location/city /person/athlete /person
shaw	/person/actor /person/artist /biology /person /person/musician /written_work /location /organization/company /location/city /organization /person/author
severs	/location/city /location
transplantation	/product /written_work
godfathers	/person/musician /person/artist
murlin	/location/city /location
backyards	/person/artist
pittston	/location/city /location
travelocity	/organization /organization/company
guerrilla	/music /person/artist /person/musician /written_work /art/film /product
marathi	/person/artist /written_work /person
amaurornis	/living_thing
gibba	/person/director /person
gregory	/person/actor /person/artist /person /organization /person/musician /location /organization/educational_institution /location/city /person/athlete /person/author /organization/company
peanut	/music /person/actor /person/artist /food /person /living_thing /person/musician /written_work /location /location/city /person/author /person/athlete
cresco	/location/city /organization /organization/company /location
madisonville	/location/city /location
aeritalia	/organization /organization/company
gliomas	/disease
vermicelli	/food
vile	/software /art/film /person/artist /product /person/musician
impulsivity	/medicine/symptom /disease
happening	/person/artist /written_work /broadcast_program
asea	/game /person/actor /person
besòs	/location /location/body_of_water
littlestown	/location/city /location
dinu	/person/actor /person
asaba	/location/city /location
partida	/art/film
ontv	/broadcast_network /organization /organization/company
nonna	/person/artist /written_work /person
nyckelharpa	/product/instrument
etruria	/location/city /location
ornithology	/product /written_work
tirso	/location /location/body_of_water
chasen	/person/actor /person/artist /person /organization /person/musician /organization/company
orc	/computer/programming_language
krem	/product/instrument /broadcast_program
okhrana	/organization
nefyn	/location/city /location
higuera	/location/city /location
tollygunge	/location
danie	/person /person/athlete
vow	/person/artist /music /product
silvester	/person/artist
abhijeet	/person/actor /person/artist /person
jag	/person/artist /broadcast_program /person/director /person/musician /person
neapoli	/location/city /location
samu	/person/actor /person/artist /person/author /person/athlete /person/musician /person
hendrickson	/location/city /location /person/author /person
chehalis	/location/city /location /product/ship
kona	/location/city /location
scoff	/person/artist
zardab	/location/city /location
laxative	/medicine/medical_treatment /person/artist /person/musician
churchill	/person/actor /person/artist /broadcast_program /person/musician /written_work /food /art/film /location /organization/educational_institution /location/city /organization /person/author /person
yuriko	/person/actor /person/artist /person/director /person
helaman	/person
kalvarija	/location
dinajpur	/location
meditating	/written_work
griot	/person/artist /title /person
cows	/art/film /person/artist /broadcast_program /organization /person/musician /written_work /organization/company
killyleagh	/location/city /location
fired	/art/film
pailin	/location/city /location
soda	/person/actor /person/artist /medicine/drug /person/director /food /art /medicine/medical_treatment /person /chemistry /person/musician /organization /person/author
gascony	/location
janki	/organization /organization/company
nashwan	/person/athlete /person
taxman	/art/film /product /person/artist /music /person
eskdale	/location/city /location
serinus	/living_thing
prescriptions	/broadcast_program
oesterreich	/location
clisson	/location/city /location
spiderhunter	/living_thing
absence	/art/film /product /person/artist /person/musician /written_work
honshu	/location /geography/island
shortland	/person/author /person
ferocity	/written_work
pangio	/living_thing
sahiwal	/location/city /location
mush	/game /software /organization /organization/company /food /person
pehr	/organization /organization/company
mercier	/organization/sports_team /location/city /location
marta	/person/actor /person/artist /building /organization /location/body_of_water /written_work /person/author /art/film /location /person /organization/company /person/athlete
pooch	/living_thing /person/actor /person/artist /person
proverbial	/person/artist
stoat	/living_thing
bomlitz	/location/city /location
bawean	/location /geography/island
tartini	/person/artist /person/author /written_work /person/musician /person
kalamaria	/location/city /location
pilbara	/living_thing /location
mudford	/location/city /location
bembridge	/location/city /location
andra	/person/actor /location /person/artist /broadcast_program /location/city /written_work /person
akshaya	/person/actor /person
dysprosium	/chemistry
kilcoy	/location/city /location
outlandish	/person/artist /person/musician /written_work
olaf	/location/city /location /person/artist /person
taksim	/broadcast_program
denaro	/location/city /location
ramban	/location/city /location /person/author /written_work /person
hupa	/people/ethnicity
jajpur	/location/city /location
harpy	/art/film /person/artist /organization /person/musician /written_work /organization/company
sonthofen	/location/city /location
indien	/art/film
anura	/living_thing
lum	/person/actor /location /person/artist /location/city /written_work /person
coincidences	/music
dharamsala	/location/city /location /organization/company
subsurface	/music /product
tchagra	/living_thing
alinda	/living_thing /location/city /location
stalin	/software /music /person/actor /person/artist /broadcast_program /person/musician /art /written_work /art/film /person/author /person
rgv	/person/artist /person/actor /person/author /person/director /person
eggplant	/living_thing /art /person/artist /person/musician /food
gandhidham	/location/city /location
mikaela	/person/actor /person
obelus	/living_thing /person/musician /person/artist
bibliophile	/title
slug	/living_thing /game /person/artist /person/author /person/director /person/musician /person
muzak	/person/artist /organization /product /person/musician /organization/company
threskiornithidae	/living_thing
gratefulness	/art/film
heathens	/product
geta	/art/film /location /play /written_work
balloch	/location/city /location
shindo	/art/film /product /written_work /person
smog	/art/film /person/artist /person/author /person/musician /person
toil	/person/musician /person/artist /product
spate	/art
stip	/location/city /location /food
skd	/person/athlete /person
braided	/person/artist /product /person/musician
carrouges	/location/city /location
binzhou	/location/city /location
simko	/person /organization /person/athlete /organization/company
contradictions	/art/film /written_work
jett	/location/city /person/actor /person/artist /person /location
ethnomusicology	/written_work
augmented	/product
swm	/art/film /person/artist /organization /organization/company
dingo	/living_thing /music /person/artist /person/musician /written_work /art/film /person /person/athlete
zwolle	/location/city /location/county /location
jahi	/person/actor /person/artist /person
hayley	/person/actor /person/artist /location /location/city /person/author /person
cuisine	/art/film /written_work
mangled	/organization /person/artist /organization/company
azure	/product /building /person/musician /written_work /location /person/artist /person/author /person
corn	/living_thing /software /person/actor /person/artist /disease /play /person/musician /written_work /food /art/film /location /product /location/city /person/author /person
democracy	/game /music /product /play /written_work
rosatom	/organization
espionage	/product /broadcast_program /person/musician /game /art/film /person/artist /person/author /person
chapmans	/location/city /location
nebriinae	/living_thing
malibran	/person/musician /person/artist
dimensions	/art/film /organization /product /written_work
hondurans	/people/ethnicity
bukowski	/person/artist /art/film /person/musician /written_work
filey	/location/city /location
katzenjammer	/person/musician /art/film /person/artist
mahe	/location/city /location /building
mcinerney	/organization /person /organization/company
ne	/software /location/city /location /disease
jagjaguwar	/organization /organization/company
bostic	/location/city /location /person
quannum	/person/musician /person/artist
cayetana	/living_thing /food
collision	/product /broadcast_program /play /person/musician /written_work /art/film /person/artist /organization /organization/company
eragrostis	/living_thing
rube	/person/actor /person/artist /person/musician /location /location/city /person/athlete /person/author /person
lalji	/person/artist /person/actor /person/author /person/director /person
ilk	/location /person/artist /building /biology /location/city /organization /person/musician /organization/company
langemarck	/location/city /location /person/artist
cysteine	/biology /chemistry /medicine/drug
yards	/location/city /location
upjohn	/organization /organization/company
yang	/product /person/actor /person/artist /person
aarp	/organization /written_work
flamboyant	/written_work
mangere	/location /geography/island
neoplasia	/disease
dn	/written_work
quartets	/game /product
kapono	/person/actor /person/artist /person
jura	/organization /person/artist /written_work /location /location/county /organization/company /person
regenesis	/person/musician /organization /person/artist /written_work /broadcast_program
stamatis	/person
victorinus	/person
guider	/location/city /location
assign	/person/musician /person/artist
limerick	/organization/sports_team /location /location/city /organization
renfield	/game
photography	/art/film /written_work /title
zirkuh	/location
soka	/location/city /location
ruthenia	/location /written_work
glenfield	/location/city /location
zod	/organization /organization/company
christo	/person/actor /person/artist /written_work /person/author /person
cretica	/written_work
greenbush	/location/city /location
popper	/person/actor /person/artist /person/director /written_work /person
waving	/written_work
modestus	/person
canche	/location /location/body_of_water
norsemen	/people/ethnicity
buch	/location/city /location
dundalk	/organization/sports_team /location /location/cemetery /location/city /organization
apparitions	/product /written_work /broadcast_program
legislations	/written_work
voz	/game /person/musician /person/artist
mccomb	/location/city /location
empalme	/food
tearaway	/game /art/film /written_work
leix	/location
turkmenistan	/location
curmudgeon	/music
stel	/person/musician /person/artist /person
dualism	/person/musician /person/artist /person
kolomna	/location/city /location
sogamoso	/location/city /location
mundubbera	/location/city /location
vreeswijk	/location
disappoint	/product
sledge	/location /person/artist /product /location/city /person/musician /written_work
buddhas	/written_work
diet	/person/actor /product /person
jnf	/organization /organization/company
separations	/art/film /product /written_work
cantor	/title /person
freakonomics	/art/film
mahim	/location
scruff	/broadcast_program /person/artist /person
tithonian	/location
saagar	/art/film /music
ezln	/organization
sens	/person/artist /location/city /location /person/musician
racists	/written_work
incinerators	/written_work
fogarty	/location/city /location
crowley	/location/city /location /art/film
flyswatter	/product /person/artist
kondor	/person/artist /organization /person/musician /organization/company /person
paltan	/location
consolidation	/medicine/symptom
cantley	/location/city /location
eliomys	/living_thing
woodinville	/location/city /location
twins	/music /person/artist /broadcast_program /person/musician /written_work /art/film /location /art /product
panache	/art/film /person/artist /person /person/musician /organization /person/author /organization/company
contax	/person /person/artist /organization/company
wir	/art/film /person/artist /organization /person/musician /organization/company
koni	/art/film
performativity	/written_work
topple	/game /organization /organization/company
fisher	/living_thing /person/actor /product/ship /person/musician /location /organization/educational_institution /organization/company /person/artist /location/city /organization /person/author /person
bunsen	/person/actor /person/artist /person
isparta	/location/city /location
